BunruiNo	LemmaID
1.1000,体-関係-事柄-事柄,1.1000-01-01-01	37877
1.1000,体-関係-事柄-事柄,1.1000-01-01-02	28990
1.1000,体-関係-事柄-事柄,1.1000-01-01-03	33543
1.1000,体-関係-事柄-事柄,1.1000-01-01-04	38347
1.1000,体-関係-事柄-事柄,1.1000-01-02-01	24316
1.1000,体-関係-事柄-事柄,1.1000-02-01-01	21796
1.1000,体-関係-事柄-事柄,1.1000-02-01-02	37875
1.1000,体-関係-事柄-事柄,1.1000-02-01-03	138643
1.1000,体-関係-事柄-事柄,1.1000-02-01-04	33373
1.1000,体-関係-事柄-事柄,1.1000-03-01-01	12836
1.1000,体-関係-事柄-事柄,1.1000-03-01-02	17674
1.1000,体-関係-事柄-事柄,1.1000-03-01-02	295607
1.1000,体-関係-事柄-事柄,1.1000-03-02-01	17853
1.1000,体-関係-事柄-事柄,1.1000-03-02-02	65014
1.1000,体-関係-事柄-事柄,1.1000-03-03-01	12843
1.1000,体-関係-事柄-事柄,1.1000-03-03-02	68445
1.1000,体-関係-事柄-事柄,1.1000-03-03-03	37892
1.1000,体-関係-事柄-事柄,1.1000-03-03-04	17868
1.1000,体-関係-事柄-事柄,1.1000-03-03-05	55776
1.1000,体-関係-事柄-事柄,1.1000-03-04-01	54203
1.1000,体-関係-事柄-事柄,1.1000-03-04-02	54199
1.1000,体-関係-事柄-事柄,1.1000-03-05-01	64034
1.1000,体-関係-事柄-事柄,1.1000-03-05-02	63801
1.1000,体-関係-事柄-事柄,1.1000-04-01-01	17819
1.1000,体-関係-事柄-事柄,1.1000-04-01-02	18524
1.1000,体-関係-事柄-事柄,1.1000-04-01-03	12393
1.1000,体-関係-事柄-事柄,1.1000-04-01-04	187
1.1000,体-関係-事柄-事柄,1.1000-04-01-05	31671
1.1000,体-関係-事柄-事柄,1.1000-04-02-01	11861
1.1000,体-関係-事柄-事柄,1.1000-04-02-02	20797
1.1000,体-関係-事柄-事柄,1.1000-04-02-03	12023
1.1000,体-関係-事柄-事柄,1.1000-04-02-04	34162
1.1000,体-関係-事柄-事柄,1.1000-04-02-05	93507
1.1000,体-関係-事柄-事柄,1.1000-04-03-01	18478
1.1000,体-関係-事柄-事柄,1.1000-04-03-03	10191
1.1000,体-関係-事柄-事柄,1.1000-04-03-04	11246
1.1000,体-関係-事柄-事柄,1.1000-04-03-05	34891
1.1000,体-関係-事柄-事柄,1.1000-04-03-06	65789
1.1000,体-関係-事柄-事柄,1.1000-04-04-01	20791
1.1000,体-関係-事柄-事柄,1.1000-04-04-02	52758
1.1000,体-関係-事柄-事柄,1.1000-04-04-03	69058
1.1000,体-関係-事柄-事柄,1.1000-04-04-04	42845
1.1000,体-関係-事柄-事柄,1.1000-04-05-01	40555
1.1000,体-関係-事柄-事柄,1.1000-04-05-02	30472
1.1000,体-関係-事柄-事柄,1.1000-05-01-01	39269
1.1000,体-関係-事柄-事柄,1.1000-05-01-02	37164
1.1000,体-関係-事柄-事柄,1.1000-05-01-03	9749
1.1000,体-関係-事柄-事柄,1.1000-05-01-05	48809
1.1000,体-関係-事柄-事柄,1.1000-05-03-02	39176
1.1000,体-関係-事柄-事柄,1.1000-05-03-03	65785
1.1000,体-関係-事柄-事柄,1.1000-05-04-01	59307
1.1000,体-関係-事柄-事柄,1.1000-05-04-02	69113
1.1000,体-関係-事柄-事柄,1.1000-05-04-03	192827
1.1000,体-関係-事柄-事柄,1.1000-06-01-01	50363
1.1000,体-関係-事柄-事柄,1.1000-06-01-02	30833
1.1000,体-関係-事柄-事柄,1.1000-06-01-03	65816
1.1000,体-関係-事柄-事柄,1.1000-06-01-05	16996
1.1000,体-関係-事柄-事柄,1.1000-06-02-01	2192
1.1000,体-関係-事柄-事柄,1.1000-06-02-03	57572
1.1000,体-関係-事柄-事柄,1.1000-06-02-04	57572
1.1000,体-関係-事柄-事柄,1.1000-06-03-01	64243
1.1000,体-関係-事柄-事柄,1.1000-06-03-02	64301
1.1000,体-関係-事柄-事柄,1.1000-06-03-03	68350
1.1000,体-関係-事柄-事柄,1.1000-06-03-04	44898
1.1000,体-関係-事柄-事柄,1.1000-06-04-01	1277
1.1000,体-関係-事柄-事柄,1.1000-06-04-03	21511
1.1000,体-関係-事柄-事柄,1.1000-07-01-02	1336
1.1000,体-関係-事柄-事柄,1.1000-07-02-01	14197
1.1000,体-関係-事柄-事柄,1.1000-07-03-01	11462
1.1000,体-関係-事柄-事柄,1.1000-08-01-01	11680
1.1000,体-関係-事柄-事柄,1.1000-09-01-01	17907
1.1000,体-関係-事柄-事柄,1.1000-09-02-01	25619
1.1000,体-関係-事柄-事柄,1.1000-09-02-02	17811
1.1000,体-関係-事柄-事柄,1.1000-09-02-03	30074
1.1000,体-関係-事柄-事柄,1.1000-09-02-05	63539
1.1000,体-関係-事柄-事柄,1.1000-09-02-06	63540
1.1000,体-関係-事柄-事柄,1.1000-09-03-01	17817
1.1000,体-関係-事柄-事柄,1.1000-09-03-04	448
1.1000,体-関係-事柄-事柄,1.1000-09-04-01	33996
1.1000,体-関係-事柄-事柄,1.1000-09-04-02	68507
1.1000,体-関係-事柄-事柄,1.1000-09-04-03	58027
1.1000,体-関係-事柄-事柄,1.1000-09-04-04	21912
1.1000,体-関係-事柄-事柄,1.1000-09-04-05	2449
1.1000,体-関係-事柄-事柄,1.1000-09-04-06	51626
1.1000,体-関係-事柄-事柄,1.1000-09-05-01	51258
1.1000,体-関係-事柄-事柄,1.1000-09-05-02	66526
1.1000,体-関係-事柄-事柄,1.1000-09-05-03	14588
1.1000,体-関係-事柄-事柄,1.1000-09-05-04	30989
1.1000,体-関係-事柄-事柄,1.1000-09-06-01	48491
1.1000,体-関係-事柄-事柄,1.1000-09-06-02	23011
1.1000,体-関係-事柄-事柄,1.1000-09-07-02	57209
1.1000,体-関係-事柄-事柄,1.1000-09-07-04	53809
1.1000,体-関係-事柄-事柄,1.1000-09-07-05	53809
1.1000,体-関係-事柄-事柄,1.1000-09-07-06	55315
